rainfall,temperature,soil_nutrients,yield
800,25,60,3200
1200,28,75,4500
600,22,50,2800
1500,30,85,5200
400,18,40,1800
1000,26,70,4000
900,24,65,3500
1100,27,72,4200
700,21,55,3000
1300,29,80,4800
500,20,45,2200
1400,31,82,5000
850,23,62,3300
950,25,68,3700
1050,26,71,4100
650,21,52,2700
1250,28,77,4600
750,23,58,3100
1150,27,74,4300
550,19,47,2400
1350,30,83,4900
450,18,42,2000
1450,31,87,5300
825,24,63,3250
1075,26,72,4150
675,22,53,2850
1225,28,76,4550
775,23,59,3150
1175,27,75,4350
575,20,48,2500
1375,30,84,4950
475,19,43,2100
875,24,64,3400
1025,26,70,4050
725,22,56,2950
